Senat;Entscheidungsdatum;Einspieldatum;Aktenzeichen;Link_Aktenzeichen;Zusatzinformationen;Unique_nr;Link_Zusatzinformationen
VIa. Zivilsenat;13.12.2023;15.1.2024;VIa ZR 1171/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=10&nr=136049&pos=327&anz=1274&Blank=1.pdf;;136049;[]
VIa. Zivilsenat;13.12.2023;12.1.2024;VIa ZR 1441/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=10&nr=136031&pos=328&anz=1274&Blank=1.pdf;;136031;[]
VIa. Zivilsenat;13.12.2023;12.1.2024;VIa ZR 151/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=10&nr=136032&pos=329&anz=1274&Blank=1.pdf;;136032;[]
VIa. Zivilsenat;13.12.2023;29.12.2023;VIa ZR 619/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135860&pos=330&anz=1274&Blank=1.pdf;;135860;[]
XII. Zivilsenat;13.12.2023;15.2.2024;XII ZB 334/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136459&pos=331&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136459;[]
XII. Zivilsenat;13.12.2023;1.2.2024;XII ZB 550/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136249&pos=332&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136249;[]
1. Strafsenat;12.12.2023;7.2.2024;1 StR 16/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136324&pos=333&anz=1274&Blank=1.pdf;;136324;[]
1. Strafsenat;12.12.2023;24.1.2024;1 StR 359/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136143&pos=334&anz=1274&Blank=1.pdf;;136143;[]
1. Strafsenat;12.12.2023;24.1.2024;1 StR 360/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136144&pos=335&anz=1274&Blank=1.pdf;;136144;[]
1. Strafsenat;12.12.2023;29.12.2023;1 StR 397/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135844&pos=336&anz=1274&Blank=1.pdf;;135844;[]
1. Strafsenat;12.12.2023;14.2.2024;1 StR 428/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136441&pos=337&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 208/23  vom 18.12.2023;136441;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135767&linked=pm&Blank=1']
3. Strafsenat;12.12.2023;8.2.2024;3 StR 278/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136362&pos=338&anz=1274&Blank=1.pdf;;136362;[]
3. Strafsenat;12.12.2023;8.2.2024;3 StR 278/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136363&pos=339&anz=1274&Blank=1.pdf;;136363;[]
3. Strafsenat;12.12.2023;7.2.2024;3 StR 422/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136332&pos=340&anz=1274&Blank=1.pdf;;136332;[]
4. Strafsenat;12.12.2023;3.1.2024;4 StR 153/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135892&pos=341&anz=1274&Blank=1.pdf;;135892;[]
4. Strafsenat;12.12.2023;9.1.2024;4 StR 206/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135969&pos=342&anz=1274&Blank=1.pdf;;135969;[]
4. Strafsenat;12.12.2023;9.1.2024;4 StR 206/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135970&pos=343&anz=1274&Blank=1.pdf;;135970;[]
4. Strafsenat;12.12.2023;3.1.2024;4 StR 373/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135897&pos=344&anz=1274&Blank=1.pdf;;135897;[]
4. Strafsenat;12.12.2023;12.1.2024;4 StR 62/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136026&pos=345&anz=1274&Blank=1.pdf;;136026;[]
4. Strafsenat;12.12.2023;9.1.2024;4 StR 92/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135968&pos=346&anz=1274&Blank=1.pdf;;135968;[]
6. Strafsenat;12.12.2023;9.1.2024;6 StR 111/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135973&pos=347&anz=1274&Blank=1.pdf;;135973;[]
6. Strafsenat;12.12.2023;3.1.2024;6 StR 157/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135898&pos=348&anz=1274&Blank=1.pdf;;135898;[]
6. Strafsenat;12.12.2023;27.12.2023;6 StR 326/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135824&pos=349&anz=1274&Blank=1.pdf;;135824;[]
6. Strafsenat;12.12.2023;3.1.2024;6 StR 425/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135902&pos=350&anz=1274&Blank=1.pdf;;135902;[]
6. Strafsenat;12.12.2023;3.1.2024;6 StR 427/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135903&pos=351&anz=1274&Blank=1.pdf;;135903;[]
6. Strafsenat;12.12.2023;29.12.2023;6 StR 431/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135853&pos=352&anz=1274&Blank=1.pdf;;135853;[]
